"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"1813","19q","20p",-0.166666666666667,6,0.363217467649122,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1814","16p","20p",-0.166666666666667,6,0.363217467649122,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1815","11p","20p",-0.333333333333333,6,0.174687814264119,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1816","13whole","20p",-0.2,5,0.373900966300059,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1817","15q","20p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1818","18p","20p",-0.2,5,0.373900966300059,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1819","17p","20p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1820","10q","20p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1821","12p","20p",-0.285714285714286,7,0.1723082967304,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1822","16q","20p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1823","1p","20p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1824","2q","20p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1825","14whole","20p",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1826","18q","20p",0,4,1,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
"1827","12q","20p",0,6,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1828","2p","20p",-0.166666666666667,6,0.363217467649122,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1829","17q","20p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1830","1q","20p",0,4,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1831","11q","20p",-0.4,5,0.177807808356221,"RECA","6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1832","14q","20p",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1833","10p","10q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1834","1p","10q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1835","1q","10q",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1836","10p","12p",0.166666666666667,6,0.363217467649122,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1837","11p","12p",-0.125,8,0.350616662820207,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1838","10q","12p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1839","1p","12p",0,6,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1840","1q","12p",0,4,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1841","11q","12p",-0.142857142857143,7,0.355917683749582,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1842","10p","16q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1843","16p","16q",-0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1844","11p","16q",-0.25,4,0.39100221895577,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1845","13whole","16q",0,3,1,"RECA","6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f9a81200-5381-496a-8062-099f9e793618.rds"
"1846","15q","16q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1847","10q","16q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1848","12p","16q",-0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1849","1p","16q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1850","14whole","16q",0,1,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1851","12q","16q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1852","1q","16q",0,1,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1853","11q","16q",-0.25,4,0.39100221895577,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds 6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1854","13q","16q",0,1,NA,"RECA","b7fbd99c-dea0-4448-a430-7f94c611e702.rds"
"1855","10p","2q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1856","19p","2q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1857","19q","2q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1858","16p","2q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1859","11p","2q",0,4,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1860","13whole","2q",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1861","15q","2q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1862","18p","2q",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1863","17p","2q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1864","10q","2q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1865","12p","2q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1866","16q","2q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1867","1p","2q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1868","14whole","2q",0,1,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1869","18q","2q",0,2,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1870","12q","2q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1871","2p","2q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 1d325d84-a3a0-4802-9842-76cb21cecb1c.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1872","17q","2q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1873","1q","2q",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1874","11q","2q",0,3,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1875","14q","2q",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1876","10p","3p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1877","19p","3p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1878","19q","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1879","20q","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1880","21q","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1881","22q","3p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1882","16p","3p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1883","11p","3p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1884","13whole","3p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1885","15q","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1886","18p","3p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1887","17p","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1888","20p","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1889","10q","3p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1890","12p","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1891","16q","3p",0,1,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds"
"1892","1p","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1893","2q","3p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1894","14whole","3p",0,1,NA,"RECA","e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1895","18q","3p",-0.5,2,0.5,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1896","12q","3p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1897","2p","3p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1898","17q","3p",0,2,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1899","1q","3p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1900","11q","3p",0,2,NA,"RECA","e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1901","14q","3p",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1902","4p","6p",-0.25,4,0.39100221895577,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1903","5p","6p",0,6,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1904","5q","6p",0,1,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds"
"1905","10p","6p",0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1906","19p","6p",0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1907","19q","6p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1908","20q","6p",0,6,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1909","21q","6p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1910","22q","6p",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1911","16p","6p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1912","4q","6p",-0.25,4,0.39100221895577,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1913","11p","6p",0,6,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1914","13whole","6p",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
