0.9,100,2,50,0.20,0.001,2,123
0.9,100,5,50,0.10,0.001,2,123
0.9,100,8,50,0.09,0.001,2,123
0.9,100,10,50,0.07,0.001,2,123
0.9,100,15,50,0.05,0.001,2,123
0.9,100,20,50,0.03,0.001,2,123
0.9,100,2,100,0.20,0.001,2,123
0.9,100,5,100,0.10,0.001,2,123
0.9,100,8,100,0.09,0.001,2,123
0.9,100,10,100,0.07,0.001,2,123
0.9,100,15,100,0.05,0.001,2,123
0.9,100,20,100,0.03,0.001,2,123
0.9,100,2,200,0.20,0.001,2,123
0.9,100,5,200,0.10,0.001,2,123
0.9,100,8,200,0.09,0.001,2,123
0.9,100,10,200,0.07,0.001,2,123
0.9,100,15,200,0.05,0.001,2,123
0.9,100,20,200,0.03,0.001,2,123
0.6,100,2,50,0.20,0.001,2,123
0.6,100,5,50,0.10,0.001,2,123
0.6,100,8,50,0.09,0.001,2,123
0.6,100,10,50,0.07,0.001,2,123
0.6,100,15,50,0.05,0.001,2,123
0.6,100,20,50,0.03,0.001,2,123
0.6,100,2,100,0.20,0.001,2,123
0.6,100,5,100,0.10,0.001,2,123
0.6,100,8,100,0.09,0.001,2,123
0.6,100,10,100,0.07,0.001,2,123
0.6,100,15,100,0.05,0.001,2,123
0.6,100,20,100,0.03,0.001,2,123
0.6,100,2,200,0.20,0.001,2,123
0.6,100,5,200,0.10,0.001,2,123
0.6,100,8,200,0.09,0.001,2,123
0.6,100,10,200,0.07,0.001,2,123
0.6,100,15,200,0.05,0.001,2,123
0.6,100,20,200,0.03,0.001,2,123
0.3,100,2,50,0.20,0.001,2,123
0.3,100,5,50,0.10,0.001,2,123
0.3,100,8,50,0.09,0.001,2,123
0.3,100,10,50,0.07,0.001,2,123
0.3,100,15,50,0.05,0.001,2,123
0.3,100,20,50,0.03,0.001,2,123
0.3,100,2,100,0.20,0.001,2,123
0.3,100,5,100,0.10,0.001,2,123
0.3,100,8,100,0.09,0.001,2,123
0.3,100,10,100,0.07,0.001,2,123
0.3,100,15,100,0.05,0.001,2,123
0.3,100,20,100,0.03,0.001,2,123
0.3,100,2,200,0.20,0.001,2,123
0.3,100,5,200,0.10,0.001,2,123
0.3,100,8,200,0.09,0.001,2,123
0.3,100,10,200,0.07,0.001,2,123
0.3,100,15,200,0.05,0.001,2,123
0.3,100,20,200,0.03,0.001,2,123
0.9,10,2,50,0.20,0.001,2,123
0.9,10,5,50,0.10,0.001,2,123
0.9,10,8,50,0.09,0.001,2,123
0.9,10,10,50,0.07,0.001,2,123
0.9,10,15,50,0.05,0.001,2,123
0.9,10,20,50,0.03,0.001,2,123
0.9,50,2,100,0.20,0.001,2,123
0.9,50,5,100,0.10,0.001,2,123
0.9,50,8,100,0.09,0.001,2,123
0.9,50,10,100,0.07,0.001,2,123
0.9,50,15,100,0.05,0.001,2,123
0.9,50,20,100,0.03,0.001,2,123
0.9,80,2,200,0.20,0.001,2,123
0.9,80,5,200,0.10,0.001,2,123
0.9,80,8,200,0.09,0.001,2,123
0.9,80,10,200,0.07,0.001,2,123
0.9,80,15,200,0.05,0.001,2,123
0.9,80,20,200,0.03,0.001,2,123
0.6,10,2,50,0.20,0.001,2,123
0.6,10,5,50,0.10,0.001,2,123
0.6,10,8,50,0.09,0.001,2,123
0.6,10,10,50,0.07,0.001,2,123
0.6,10,15,50,0.05,0.001,2,123
0.6,10,20,50,0.03,0.001,2,123
0.6,50,2,100,0.20,0.001,2,123
0.6,50,5,100,0.10,0.001,2,123
0.6,50,8,100,0.09,0.001,2,123
0.6,50,10,100,0.07,0.001,2,123
0.6,50,15,100,0.05,0.001,2,123
0.6,50,20,100,0.03,0.001,2,123
0.6,80,2,200,0.20,0.001,2,123
0.6,80,5,200,0.10,0.001,2,123
0.6,80,8,200,0.09,0.001,2,123
0.6,80,10,200,0.07,0.001,2,123
0.6,80,15,200,0.05,0.001,2,123
0.6,80,20,200,0.03,0.001,2,1236
0.3,10,2,50,0.20,0.001,2,123
0.3,10,5,50,0.10,0.001,2,123
0.3,10,8,50,0.09,0.001,2,123
0.3,10,10,50,0.07,0.001,2,123
0.3,10,15,50,0.05,0.001,2,123
0.3,10,20,50,0.03,0.001,2,123
0.3,50,2,100,0.20,0.001,2,123
0.3,50,5,100,0.10,0.001,2,123
0.3,50,8,100,0.09,0.001,2,123
0.3,50,10,100,0.07,0.001,2,123
0.3,50,15,100,0.05,0.001,2,123
0.3,50,20,100,0.03,0.001,2,123
0.3,80,2,200,0.20,0.001,2,123
0.3,80,5,200,0.10,0.001,2,123
0.3,80,8,200,0.09,0.001,2,123
0.3,80,10,200,0.07,0.001,2,123
0.3,80,15,200,0.05,0.001,2,123
0.3,80,20,200,0.03,0.001,2,1233
